model,val_mae,val_rmse,test_mae,test_rmse,best_params
GradientBoosting,1.139872905271513,1.5313998725976754,2.8068133001193396,3.3454298726098104,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 400, 'subsample': 1.0}"
LinearRegression,1.4161073115110876,1.6979975230111222,2.515408045569937,2.725266899837262,{}
Ridge,1.4162333358592263,1.6981468740272108,2.5157577303417615,2.725645091717572,{'model__alpha': 0.01}
Lasso,1.4253195264030676,1.7092126250582482,2.5292410626955073,2.7431633841008622,{'model__alpha': 0.001}
RandomForest,1.4068071849993449,1.8140614212829234,4.015016328585821,4.3768124584816075,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
