model,val_mae,val_rmse,test_mae,test_rmse
LinearRegression,0.7761857465634096,0.9957623597545272,1.188717588147774,1.3156828738307194
GradientBoosting,0.787897575885156,1.0992848592988842,2.1575536118385865,2.6456061041112267
Ridge,0.7885662739016742,1.0074402152683064,1.2212398253096475,1.349908138950289
Lasso,0.8328161371883743,1.0535203465670064,1.2999924991243006,1.4462109990753438
RandomForest,0.8850942674407837,1.2143587496067445,2.5471744447411875,2.9848781809862945
